,num_samples,view_group,age_score,gender_score,final_score,numeric_group
1,95293,"(1, 11]",0.49508172633777486,0.747636822459387,0.5361925343306143,1
2,63413,"(11, 21]",0.5509225619886555,0.8260862737708264,0.5949070961841009,2
3,48855,"(21, 31]",0.5831776317946169,0.8475391636857037,0.6216636571363198,3
4,36373,"(31, 41]",0.6264180115509724,0.8618126131142977,0.6531871312114019,4
5,28208,"(41, 51]",0.646390122040315,0.8767512904245234,0.6702511640127554,5
6,21014,"(51, 61]",0.6822679920962164,0.8959012905970785,0.6985992221997399,6
7,15839,"(61, 71]",0.7351269448395331,0.9032901296111665,0.7341170141322557,7
8,12023,"(71, 81]",0.756547416924326,0.9320202775700158,0.7562309559333301,8
9,8070,"(81, 91]",0.7676096111717348,0.9223918575063613,0.7603116122901012,9
10,6054,"(91, 101]",0.8103198200110578,0.9567675424010642,0.7975317493272855,10
11,3679,"(101, 111]",0.8542041597595034,0.9609834313201496,0.8264436500445319,11
12,2383,"(111, 121]",0.8701278024221848,0.9562043795620438,0.8350418293945896,12
13,1477,"(121, 131]",0.9301508321983067,0.9496151154653604,0.8708795589245413,13
14,922,"(131, 141]",0.9241493207265812,0.9596602972399151,0.8701121612297207,14
15,408,"(141, 151]",0.9051448136655329,0.9952267303102625,0.8688092517023644,15
16,121,"(151, 161]",0.956896551724138,1.0,0.9028448275862069,16
17,137,"(161, 171]",0.9063511559291831,1.0,0.8710012282353854,17
18,40,"(171, 181]",1.0,1.0,0.9299999999999999,18
